Event_ID,Competition_ID,Season_ID,Season_Format,Competition_Phase,Competition_Stage,Competition_Type,Team_ID,Equipo,Condicion,Tiempo,Fecha,Jornada,Goals,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Final third phase,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Errors lead to a shot,Total saves,Goals prevented,Big saves,High claims,Punches,Goal kicks
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,ALL,14/08/2026,2,1,60%,1.56,0,15,2,4,17,539,20,8,4,,3,0,8,4,8,7,0,0,,30,2,0,467,19,73,128/169 (76%),22/44 (50%),1/17 (6%),49%,10,33/67 (49%),11/23 (48%),6/13 (46%),75%,20,4,52,19,,2,,,,1,4
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,1ST,14/08/2026,2,0,65%,0.00,0,6,1,0,8,304,11,2,1,,0,0,4,2,4,2,0,0,,,0,0,265,13,41,,8/19 (42%),0/5 (0%),49%,7,14/31 (45%),5/8 (63%),1/3 (33%),73%,11,1,25,10,,1,,,,,4
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,262480,Esenler Erokspor,Local,2ND,14/08/2026,2,1,55%,0.00,0,9,1,4,9,235,9,6,3,,3,0,4,2,4,5,0,0,,,2,0,202,6,32,,14/25 (56%),1/12 (8%),49%,3,19/36 (53%),6/15 (40%),5/10 (50%),78%,9,3,27,9,,1,,,,,0
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,ALL,14/08/2026,2,1,40%,0.88,2,5,2,3,8,361,17,17,2,,3,0,1,1,3,2,1,1,,15,3,3,281,24,35,32/61 (52%),28/60 (47%),2/9 (22%),51%,9,34/67 (51%),12/23 (52%),3/14 (21%),76%,17,11,46,27,,2,,,,0,10
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,1ST,14/08/2026,2,0,35%,0.00,0,2,0,1,2,165,9,8,1,,1,0,1,0,1,1,0,0,,,1,0,126,11,16,,12/26 (46%),1/4 (25%),51%,7,17/31 (55%),3/8 (38%),1/5 (20%),78%,9,7,26,9,,0,,,,,5
16490444,98,98149,NORMAL,REGULAR,Round 2,LEAGUE,4952,Sarıyer,Visita,2ND,14/08/2026,2,1,45%,0.00,2,3,2,2,6,196,8,9,1,,2,0,0,1,2,1,1,1,,,2,3,155,13,19,,16/34 (47%),1/5 (20%),51%,2,17/36 (47%),9/15 (60%),2/9 (22%),75%,8,4,20,18,,2,,,,,5
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,ALL,08/08/2026,1,0,46%,1.61,1,16,0,8,7,351,12,12,2,,5,0,7,4,8,8,,1,,20.0,3,2,278,16,50,61/98 (62%),32/62 (52%),2/25 (8%),55%,6,34/55 (62%),8/21 (38%),10/14 (71%),92%,12,9,39,13,,0,,0.0,,0.0,15
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,1ST,08/08/2026,1,0,52%,0.0,0,6,0,3,3,189,9,7,1,,0,0,3,3,2,4,,0,,,2,2,150,7,20,,17/32 (53%),2/9 (22%),57%,4,19/29 (66%),2/8 (25%),3/4 (75%),100%,9,4,16,5,,0,,,,,7
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,3076,Sivasspor,Local,2ND,08/08/2026,1,0,42%,0.0,1,10,0,5,4,162,3,5,1,,5,0,4,1,6,4,,1,,,1,0,128,9,30,,15/30 (50%),1/16 (0%),54%,2,15/26 (58%),6/13 (46%),7/10 (70%),67%,3,5,23,8,,0,,,,,8
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,262480,Esenler Erokspor,Visita,ALL,08/08/2026,1,0,54%,0.57,1,7,5,2,12,418,10,7,2,,0,0,6,1,4,3,,1,,8.0,0,1,348,21,59,87/117 (74%),21/46 (46%),4/15 (27%),45%,6,21/55 (38%),13/21 (62%),4/10 (40%),70%,10,5,38,34,,5,,1.0,,3.0,10
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,262480,Esenler Erokspor,Visita,1ST,08/08/2026,1,0,48%,0.0,0,1,0,2,7,180,5,3,1,,0,0,1,0,0,1,,0,,,0,1,147,12,15,,7/21 (33%),0/5 (0%),43%,5,10/29 (34%),6/8 (75%),2/6 (33%),80%,5,1,17,11,,0,,,,,5
16490428,98,98149,NORMAL,REGULAR,Round 1,LEAGUE,262480,Esenler Erokspor,Visita,2ND,08/08/2026,1,0,58%,0.0,1,6,5,0,5,238,5,4,1,,0,0,5,1,4,2,,1,,,0,0,201,9,44,,14/25 (56%),4/10 (40%),46%,1,11/26 (42%),7/13 (54%),2/4 (50%),60%,5,4,21,23,,5,,,,,5
