Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Yann Sommer,G,Club Brugge KV,90,7,0,0,0,0.0257363,0,0,0,31,0,0,0,37,0,0,0,0,0,0,0,0,0,2
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Hans Vanaken,M,Club Brugge KV,83,7.5,0,0,0.0549,0.0562885,1,1,0,90,1,0,0,100,1,2,1,4,0,1,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Brandon Mechele,D,Club Brugge KV,90,8.5,0,0,0.2265,0.0547763,2,0,0,129,0,0,1,145,0,5,0,11,1,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Hugo Vetlesen,M,Club Brugge KV,90,7.5,1,0,1.5326,0.14077,4,2,0,48,4,1,0,63,0,1,0,3,0,2,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Han-Beom Lee,D,Club Brugge KV,90,8.9,0,0,0,0.0426076,0,0,0,130,0,0,0,146,1,3,0,12,1,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Bjorn Meijer,D,Club Brugge KV,13,6.6,0,0,0,0.00029921,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Romeo Vermant,F,Club Brugge KV,13,6.8,0,0,0,0.0375786,0,0,0,3,1,0,0,7,1,0,0,1,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Carlos Forbs,M,Club Brugge KV,90,8,1,0,0.558,0.22311,1,1,0,26,2,0,0,48,4,2,0,6,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Freddie Potts,M,Club Brugge KV,85,6.7,0,0,0,0.206582,0,0,0,98,1,0,0,104,0,0,1,3,4,0,1,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Kyriani Sabbe,D,Club Brugge KV,90,7.2,0,0,0.0342,0.0387997,1,0,0,81,0,0,0,110,1,1,0,2,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Félix Lemaréchal,M,Club Brugge KV,13,6.6,0,0,0.0531,0.240365,2,0,0,12,1,0,0,22,0,0,0,1,0,1,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Nicolò Tresoldi,F,Club Brugge KV,83,7,1,0,0.8881,0.043076,3,1,0,24,1,0,0,44,0,0,0,4,0,4,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Joaquin Seys,D,Club Brugge KV,83,7.1,0,0,0.5611,0.0670924,3,2,0,62,0,0,1,86,0,1,1,2,0,0,0,0,1,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Cheveyo Tsawa,M,Club Brugge KV,11,6.9,0,0,0.0443,0.00078449,1,1,0,6,0,0,0,10,0,0,0,1,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Mamadou Diakhon,F,Club Brugge KV,77,8.5,0,1,0.0841,0.93059,1,0,0,33,3,2,0,55,3,0,2,5,0,2,0,0,1,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Tian Nai Koren,M,Club Brugge KV,13,6.6,0,0,0.1823,0.00000631,1,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Brecht Dejaegere,M,KV Kortrijk,73,6.9,0,0,0,0.0182991,0,0,0,28,1,0,0,44,0,4,1,4,1,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Gilles Ruyssen,D,KV Kortrijk,90,6.1,0,0,0,0.00032847,0,0,0,19,0,0,0,29,0,2,2,3,1,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Thierry Ambrose,F,KV Kortrijk,80,6.1,0,0,0.0521,0.156826,1,0,0,32,1,1,0,49,0,1,0,3,1,1,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Jellert Van Landschoot,F,KV Kortrijk,17,6.7,0,0,0.0373,0.00343147,1,1,0,4,0,0,0,9,0,1,0,1,0,0,0,0,0,0
Belgian Pro League,26_27,Club Brugge KV vs KV Kortrijk,07/08/2026,Marko Ilić,G,KV Kortrijk,90,7.5,0,0,0,0.00033448,0,0,0,28,0,0,0,39,1,0,0,1,0,0,0,0,0,5
