Liga,Temporada,Partido,Fecha,Jugador,Posicion,Equipo,Minutos_Jugados,Rating,Goles,Asistencias,xG,xA,Tiros_Totales,Tiros_Al_Arco,Tiros_Al_Palo,Pases_Totales,Pases_Clave,Grandes_Ocasiones_Creadas,Grandes_Ocasiones_Falladas,Toques,Regates_Completados,Entradas(Tackles),Intercepciones,Duelos_Ganados,Faltas_Cometidas,Faltas_Recibidas,Tarjetas_Amarillas,Tarjetas_Rojas,Offsides,Atajadas(Portero)
League Two,26_27,Newport County vs Rochdale,15/08/2026,Christian Doidge,F,Newport County,65,6.4,0,0,0,0,0,0,0,12,0,0,0,16,0,0,1,6,2,0,0,0,1,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Kyle Cameron,D,Newport County,90,7.6,1,0,0,0,1,1,0,18,1,0,0,22,0,0,1,1,1,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Cameron Norman,D,Newport County,90,7.7,0,0,0,0,0,0,0,25,1,1,0,64,1,0,0,8,2,4,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Jordan Wright,G,Newport County,90,7.1,0,0,0,0,0,0,0,23,0,0,0,29,0,1,0,2,0,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Matt Smith,M,Newport County,8,6.5,0,0,0,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Harrison Biggins,M,Newport County,90,8,0,1,0,0,2,0,0,20,2,1,0,54,1,2,0,7,0,3,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Ciaran Brennan,M,Newport County,90,7.5,0,0,0,0,3,1,0,29,0,0,0,47,1,3,3,5,0,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Cameron Evans,D,Newport County,88,6.9,0,0,0,0,0,0,0,20,0,0,0,34,0,3,1,6,2,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Gerard Garner,F,Newport County,10,6.6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Thomas Davies,D,Newport County,90,7.1,0,0,0,0,0,0,0,24,2,0,0,36,0,1,1,4,0,2,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Lee Jenkins,D,Newport County,90,7.7,0,0,0,0,1,1,0,16,0,0,0,34,0,3,1,9,2,0,1,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Yahya Bamba,M,Newport County,90,8.7,1,1,0,0,2,1,0,9,1,1,0,25,0,2,1,4,1,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Shaquille Gwengwe,F,Newport County,80,7.3,1,0,0,0,2,2,0,6,1,0,1,14,0,0,0,1,0,1,0,0,1,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Alfie Merritt,D,Newport County,25,6.4,0,0,0,0,1,0,0,5,0,0,0,11,0,0,0,1,1,0,1,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Ethan Ebanks-Landell,D,Rochdale,90,6.1,0,0,0,0,0,0,0,70,0,0,0,75,0,0,0,0,0,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Emmanuel Dieseruvwe,F,Rochdale,70,6.5,0,0,0,0,0,0,0,9,0,0,0,18,0,0,0,2,0,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Tobi Adebayo-Rowling,M,Rochdale,90,5.7,0,0,0,0,1,0,0,32,0,0,0,42,0,2,1,4,2,0,1,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Edward Francis,M,Rochdale,20,6.4,0,0,0,0,0,0,0,20,1,0,0,22,0,0,0,0,1,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Luke Hanannt,M,Rochdale,62,6,0,0,0,0,0,0,0,11,1,0,0,23,0,2,0,2,3,0,1,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Devante Rodney,F,Rochdale,90,5.9,0,0,0,0,2,0,0,29,0,0,0,46,0,2,0,5,0,1,0,0,1,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Ryan East,M,Rochdale,70,6.6,0,0,0,0,0,0,0,41,0,0,0,52,0,2,0,3,0,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Harvey Gilmour,M,Rochdale,70,6.3,0,0,0,0,0,0,0,28,0,0,0,40,0,1,0,3,2,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Sam Sherring,D,Rochdale,90,6.7,0,0,0,0,0,0,0,102,0,0,0,122,0,1,0,4,0,2,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Babajide Adeeko,M,Rochdale,20,6.4,0,0,0,0,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Bryant Akono Bilongo,D,Rochdale,66,5.3,0,0,0,0,1,0,0,31,1,0,0,52,0,0,0,5,3,1,2,1,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Kaiden Wilson,D,Rochdale,20,6.4,0,0,0,0,0,0,0,17,0,0,0,40,0,2,1,2,0,0,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Zain Silcott-Duberry,F,Rochdale,28,6.3,0,0,0,0,0,0,0,5,0,0,0,10,1,0,0,2,2,1,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Dajaune Brown,F,Rochdale,90,6.3,0,0,0,0,1,0,0,19,0,0,0,42,3,0,0,7,1,3,0,0,0,0
League Two,26_27,Newport County vs Rochdale,15/08/2026,Nils Ramming,G,Rochdale,90,5.7,0,0,0,0,0,0,0,46,0,0,0,57,0,0,0,1,0,1,0,0,0,3
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Onel Hernández,F,Port Vale,22,6.8,0,0,0,0,0,0,0,5,1,0,0,15,1,1,0,2,0,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Kyle Dempsey,M,Port Vale,90,6.9,0,0,0,0,0,0,0,34,2,0,0,55,1,0,0,8,1,1,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,George Byers,M,Port Vale,68,6.6,0,0,0,0,1,0,0,53,0,0,0,60,0,0,2,0,1,0,1,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Cameron Humphreys,D,Port Vale,90,6,0,0,0,0,2,1,0,52,0,0,0,68,1,1,3,8,5,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Jordan Lawrence-Gabriel,D,Port Vale,90,6.8,0,0,0,0,2,0,0,38,0,0,0,69,0,1,2,6,1,5,1,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Liam Gordon,D,Port Vale,90,6.1,0,0,0,0,0,0,0,25,2,0,0,43,1,1,1,4,2,1,1,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Lewis Montsma,D,Port Vale,73,6.2,0,0,0,0,0,0,0,37,0,0,0,52,0,1,1,1,2,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Connor Hall,D,Port Vale,17,6.5,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Jackson Smith,G,Port Vale,90,6.6,0,0,0,0,0,0,0,48,0,0,0,60,0,0,0,1,0,1,0,0,0,1
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Mo Faal,F,Port Vale,22,6.3,0,0,0,0,2,0,0,5,0,0,0,12,0,0,0,1,1,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Jaheim Headley,M,Port Vale,68,6.5,0,0,0,0,1,0,0,20,0,0,0,36,1,1,1,5,1,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,George Hall,M,Port Vale,90,5.8,0,0,0,0,1,1,0,18,2,0,0,37,0,1,0,3,1,0,1,0,1,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Rhys Walters,M,Port Vale,90,6.8,0,0,0,0,1,0,0,27,1,0,0,42,2,1,0,6,0,2,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Oliver Lynch,F,Port Vale,90,5.9,0,0,0,0,2,0,0,16,0,0,0,26,1,0,0,5,1,1,0,0,2,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Ryan Woods,M,Oldham Athletic,8,6.6,0,0,0,0,0,0,0,9,0,0,0,10,0,0,1,0,0,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Ollie Norburn,M,Oldham Athletic,90,7.2,0,1,0,0,0,0,0,47,1,0,0,59,0,2,1,4,1,2,1,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Donervon Daniels,D,Oldham Athletic,90,7.1,0,0,0,0,0,0,0,25,0,0,0,39,0,0,1,5,0,1,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Tom Pett,M,Oldham Athletic,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Mathew Hudson,G,Oldham Athletic,90,7.1,0,0,0,0,0,0,0,27,0,0,0,35,0,0,0,0,0,0,0,0,0,2
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Ryan Delaney,D,Oldham Athletic,90,6.8,0,0,0,0,0,0,0,23,0,0,0,38,0,0,0,7,1,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Jamie Robson,D,Oldham Athletic,90,7.8,0,0,0,0,0,0,0,20,1,0,0,58,1,3,3,12,1,1,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Keenan Appiah-Forson,M,Oldham Athletic,90,6.5,0,0,0,0,0,0,0,16,1,0,0,29,0,2,0,2,1,0,0,0,0,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Mike Fondop,F,Oldham Athletic,88,8.8,0,1,0,0,3,0,0,17,2,1,1,39,1,0,0,14,1,5,0,0,2,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Calum Kavanagh,F,Oldham Athletic,82,8.1,2,0,0,0,5,3,0,12,1,0,0,24,0,0,0,3,1,2,0,0,2,0
League Two,26_27,Oldham Athletic vs Port Vale,15/08/2026,Elliott Nevitt,F,Oldham Athletic,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
